Вопрос,Правильный ответ
Кто первым человеком высадился на Луну?,Нил Армстронг
Какую теорию разработал Альберт Эйнштейн?,Теорию относительности
Кто написал роман '1984'?,Джордж Оруэлл
Кто был премьер-министром Великобритании во время Второй мировой войны?,Уинстон Черчилль
Кто исполнил песню 'Thriller'?,Майкл Джексон
Кто создал картину 'Мона Лиза'?,Леонардо да Винчи
Кто основал компанию Apple?,Стив Джобс
"Кто был президентом США, подписавшим Прокламацию об освобождении рабов?",Авраам Линкольн
Кто нарисовал 'Звёздную ночь'?,Винсент Ван Гог
Кто написал пьесу 'Ромео и Джульетта'?,Уильям Шекспир
Кто сыграл Росомаху в серии фильмов 'Люди Икс'?,Хью Джекман
Кто был императором Франции в начале XIX века?,Наполеон Бонапарт
Кто написал оперу 'Кармен'?,Жорж Бизе
Кто спроектировал Эйфелеву башню?,Гюстав Эйфель
Кто руководил СССР во время Второй мировой войны?,Иосиф Сталин
Кто разработал теорию относительности?,Альберт Эйнштейн
Кто изобрел телефон?,Александр Грэм Белл
Кто написал роман 'Война и мир'?,Лев Толстой
Кто создал картину 'Тайная вечеря'?,Леонардо да Винчи
Кто основал компанию Microsoft?,Билл Гейтс
Кто сыграл Джокера в фильме 'Тёмный рыцарь'?,Хит Леджер
Кто первым облетел Землю на космическом корабле?,Юрий Гагарин
Кто написал симфонию № 9 'Ода к радости'?,Людвиг ван Бетховен
Кто открыл Америку в 1492 году?,Христофор Колумб
Кто был основателем психоанализа?,Зигмунд Фрейд
Кто первым человеком полетел в космос?,Юрий Гагарин
Кто написал роман 'Моби Дик'?,Герман Мелвилл
Кто создал картину 'Герника'?,Пабло Пикассо
Кто был первым президентом США?,Джордж Вашингтон
Кто написал 'Сон в летнюю ночь'?,Уильям Шекспир
Кто основал компанию Tesla?,Илон Маск
Кто написал оперу 'Волшебная флейта'?,Вольфганг Амадей Моцарт
Кто сыграл Гарри Поттера в серии фильмов?,Дэниел Рэдклифф
Кто написал 'Преступление и наказание'?,Фёдор Достоевский
Кто был первым премьер-министром независимой Индии?,Джавахарлал Неру
Кто создал скульптуру 'Давид'?,Микеланджело
Кто написал 'Гамлет'?,Уильям Шекспир
Кто первым совершил одиночный перелет через Атлантический океан?,Чарльз Линдберг
Кто основал компанию Facebook?,Марк Цукерберг
Кто открыл периодический закон химических элементов?,Дмитрий Менделеев
Кто написал роман 'Унесённые ветром'?,Маргарет Митчелл
Кто сыграл Тони Старка в серии фильмов 'Мстители'?,Роберт Дауни-младший
Кто первым человеком поднялся на Эверест?,Эдмунд Хиллари
Кто написал роман 'Сто лет одиночества'?,Габриэль Гарсиа Маркес
Кто создал балет 'Лебединое озеро'?,Пётр Ильич Чайковский
"Кто был первым человеком, пересекшим Южный полюс?",Руаль Амундсен
Кто написал роман 'Гордость и предубеждение'?,Джейн Остин
Кто создал скульптуру 'Мыслитель'?,Огюст Роден
Кто написал симфонию 'Лунная соната'?,Людвиг ван Бетховен
Кто сыграл Форреста Гампа в одноимённом фильме?,Том Хэнкс
